Country,continent,City,State,Latitude,Longitude,Condition,Min_Temperature,Max_Temperature,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million
Angola,Africa,Muxima,Bengo,-9.58790000,13.52510000,broken clouds,32.48,32.48,107481.0,0.0,1937.0,0.0,3016.162,54.357
Angola,Africa,Nambuangongo,Bengo,-8.56560000,13.65720000,broken clouds,33.25,33.25,107481.0,0.0,1937.0,0.0,3016.162,54.357
Angola,Africa,Pango Aluquém,Bengo,-8.55440000,13.58150000,broken clouds,33.07,33.07,107481.0,0.0,1937.0,0.0,3016.162,54.357
Angola,Africa,Úcua,Bengo,-8.67240000,13.68290000,broken clouds,32.89,32.89,107481.0,0.0,1937.0,0.0,3016.162,54.357
Angola,Africa,Baía Farta,Benguela,-12.57660000,13.47760000,broken clouds,28.86,28.86,107481.0,0.0,1937.0,0.0,3016.162,54.357
Angola,Africa,Balombo,Benguela,-12.90460000,13.59590000,overcast clouds,27.13,27.13,107481.0,0.0,1937.0,0.0,3016.162,54.357
Antigua and Barbuda,North America,Codrington,Barbuda,17.63333000,-61.83333000,broken clouds,13.48,13.48,9106.0,0.0,146.0,0.0,98071.1,1572.412
Antigua and Barbuda,North America,Piggotts,Saint George,17.11667000,-61.80000000,few clouds,25.97,26.27,9106.0,0.0,146.0,0.0,98071.1,1572.412
Antigua and Barbuda,North America,Potters Village,Saint John,17.11337000,-61.81962000,few clouds,25.82,26.12,9106.0,0.0,146.0,0.0,98071.1,1572.412
Antigua and Barbuda,North America,Saint John’s,Saint John,17.12096000,-61.84329000,few clouds,26.05,26.34,9106.0,0.0,146.0,0.0,98071.1,1572.412
Antigua and Barbuda,North America,Bolands,Saint Mary,17.06565000,-61.87466000,few clouds,25.86,26.16,9106.0,0.0,146.0,0.0,98071.1,1572.412
Antigua and Barbuda,North America,Falmouth,Saint Paul,17.02741000,-61.78136000,few clouds,12.32,12.58,9106.0,0.0,146.0,0.0,98071.1,1572.412
Antigua and Barbuda,North America,Liberta,Saint Paul,17.04141000,-61.79052000,few clouds,25.3,25.6,9106.0,0.0,146.0,0.0,98071.1,1572.412
Antigua and Barbuda,North America,All Saints,Saint Peter,17.06671000,-61.79303000,few clouds,25.75,26.05,9106.0,0.0,146.0,0.0,98071.1,1572.412
Antigua and Barbuda,North America,Parham,Saint Peter,17.09682000,-61.77046000,few clouds,25.83,26.13,9106.0,0.0,146.0,0.0,98071.1,1572.412
Argentina,South America,Agronomía,Autonomous City of Buenos Aires,-34.59222640,-58.49997640,clear sky,15.54,17.76,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Argentina,South America,Almagro,Autonomous City of Buenos Aires,-34.60985140,-58.44322610,few clouds,16.85,17.13,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Argentina,South America,Balvanera,Autonomous City of Buenos Aires,-34.60928550,-58.42375890,clear sky,12.95,17.77,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Argentina,South America,Barracas,Autonomous City of Buenos Aires,-34.64448730,-58.40516880,overcast clouds,10.31,10.31,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Argentina,South America,Belgrano,Autonomous City of Buenos Aires,-34.55543270,-58.47138570,clear sky,15.59,17.81,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Argentina,South America,Boedo,Autonomous City of Buenos Aires,-34.63038420,-58.43974170,clear sky,13.0,17.82,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Argentina,South America,Caballito,Autonomous City of Buenos Aires,-34.61661920,-58.46532990,clear sky,12.9,17.72,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Argentina,South America,Chacarita,Autonomous City of Buenos Aires,-34.58802750,-58.47332730,few clouds,24.4,24.4,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Argentina,South America,Coghlan,Autonomous City of Buenos Aires,-34.56017320,-58.48536760,clear sky,15.62,17.84,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Argentina,South America,Colegiales,Autonomous City of Buenos Aires,-34.57463180,-58.46194700,clear sky,15.54,17.76,10101218.0,54.0,130663.0,1.0,222455.06,2877.538
Armenia,Asia,Agarakavan,Aragatsotn,40.33069000,44.07233000,overcast clouds,11.05,11.05,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Armenia,Asia,Aparan,Aragatsotn,40.59323000,44.35890000,overcast clouds,6.03,6.03,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Armenia,Asia,Aragats,Aragatsotn,40.48889000,44.35290000,overcast clouds,6.93,6.93,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Armenia,Asia,Arteni,Aragatsotn,40.29730000,43.76672000,overcast clouds,12.68,12.68,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Armenia,Asia,Ashnak,Aragatsotn,40.33069000,43.91669000,overcast clouds,11.36,11.36,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Armenia,Asia,Ashtarak,Aragatsotn,40.29910000,44.36204000,broken clouds,18.09,18.09,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Armenia,Asia,Byurakan,Aragatsotn,40.33894000,44.27275000,overcast clouds,16.0,16.0,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Armenia,Asia,Hnaberd,Aragatsotn,40.63721000,44.14058000,overcast clouds,6.16,6.16,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Armenia,Asia,Karbi,Aragatsotn,40.33069000,44.37793000,overcast clouds,17.0,17.0,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Armenia,Asia,Kasakh,Aragatsotn,40.53697000,44.41046000,overcast clouds,6.92,6.92,452273.0,0.0,8777.0,0.0,156991.11,3046.635
Australia,Oceania,Acton,Australian Capital Territory,-35.27767000,149.11829000,clear sky,13.97,15.69,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Australia,Oceania,Ainslie,Australian Capital Territory,-35.26255000,149.14370000,scattered clouds,11.11,13.1,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Australia,Oceania,Amaroo,Australian Capital Territory,-35.16959000,149.12802000,scattered clouds,11.01,13.01,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Australia,Oceania,Aranda,Australian Capital Territory,-35.25817000,149.08040000,overcast clouds,27.4,27.4,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Australia,Oceania,Banks,Australian Capital Territory,-35.47194000,149.09965000,clear sky,15.03,17.16,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Australia,Oceania,Barton,Australian Capital Territory,-35.30489000,149.14121000,few clouds,7.86,8.14,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Australia,Oceania,Belconnen,Australian Capital Territory,-35.23798000,149.06627000,scattered clouds,11.31,13.31,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Australia,Oceania,Bonner,Australian Capital Territory,-35.16225000,149.13855000,overcast clouds,0.6,0.6,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Australia,Oceania,Bonython,Australian Capital Territory,-35.43326000,149.07822000,scattered clouds,11.17,13.17,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Australia,Oceania,Braddon,Australian Capital Territory,-35.27078000,149.13569000,scattered clouds,11.31,13.31,11861161.0,0.0,25236.0,0.0,452699.0,963.17
Austria,Europe,Andau,Burgenland,47.77441000,17.03293000,broken clouds,14.77,14.77,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Austria,Europe,Antau,Burgenland,47.77377000,16.47984000,overcast clouds,13.18,13.18,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Austria,Europe,Apetlon,Burgenland,47.74394000,16.83020000,broken clouds,14.79,14.79,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Austria,Europe,Bad Sauerbrunn,Burgenland,47.77439000,16.32841000,overcast clouds,12.67,12.67,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Austria,Europe,Bad Tatzmannsdorf,Burgenland,47.33126000,16.23067000,broken clouds,13.45,13.45,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Austria,Europe,Badersdorf,Burgenland,47.20000000,16.36667000,scattered clouds,12.03,14.17,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Austria,Europe,Bernstein,Burgenland,47.40000000,16.25000000,broken clouds,11.08,11.08,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Austria,Europe,Bocksdorf,Burgenland,47.14256000,16.17784000,scattered clouds,15.67,15.67,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Austria,Europe,Breitenbrunn,Burgenland,47.94452000,16.73149000,overcast clouds,10.23,11.7,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Austria,Europe,Bruckneudorf,Burgenland,48.01667000,16.78333000,scattered clouds,13.92,13.92,6082444.0,15.0,22534.0,0.0,671004.9,2485.912
Azerbaijan,Asia,Ceyranbatan,Absheron,40.54194000,49.66073000,overcast clouds,19.11,19.11,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Azerbaijan,Asia,Digah,Absheron,40.49257000,49.87477000,clear sky,20.69,20.69,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Azerbaijan,Asia,Gyuzdek,Absheron,40.37444000,49.68194000,overcast clouds,17.54,17.54,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Azerbaijan,Asia,Khirdalan,Absheron,40.44808000,49.75502000,overcast clouds,20.51,20.51,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Azerbaijan,Asia,Qobu,Absheron,40.40472000,49.71306000,overcast clouds,20.62,20.62,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Azerbaijan,Asia,Saray,Absheron,40.53299000,49.71681000,overcast clouds,20.71,20.71,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Azerbaijan,Asia,Ağdam,Agdam,39.99096000,46.92736000,overcast clouds,20.58,20.58,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Azerbaijan,Asia,Ağdaş,Agdash,40.64699000,47.47380000,overcast clouds,19.81,21.93,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Azerbaijan,Asia,Agdzhabedy,Aghjabadi,40.05015000,47.45937000,overcast clouds,22.73,22.73,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Azerbaijan,Asia,Avşar,Aghjabadi,39.97389000,47.42389000,overcast clouds,22.21,22.21,835757.0,63.0,10353.0,0.0,81178.445,1005.604
Bahrain,Asia,Jidd Ḩafş,Capital,26.21861000,50.54778000,clear sky,33.99,33.99,696614.0,0.0,1536.0,0.0,454276.25,1001.657
Bahrain,Asia,Manama,Capital,26.22787000,50.58565000,clear sky,33.99,33.99,696614.0,0.0,1536.0,0.0,454276.25,1001.657
Bahrain,Asia,Sitrah,Capital,26.15472000,50.62056000,clear sky,34.0,34.0,696614.0,0.0,1536.0,0.0,454276.25,1001.657
Bahrain,Asia,Madīnat Ḩamad,Central,26.11528000,50.50694000,scattered clouds,33.79,33.79,696614.0,0.0,1536.0,0.0,454276.25,1001.657
Bahrain,Asia,Al Ḩadd,Muharraq,26.24556000,50.65417000,clear sky,33.99,33.99,696614.0,0.0,1536.0,0.0,454276.25,1001.657
Bahrain,Asia,Al Muharraq,Muharraq,26.25722000,50.61194000,clear sky,33.98,33.98,696614.0,0.0,1536.0,0.0,454276.25,1001.657
Bahrain,Asia,Ar Rifā‘,Southern,26.13000000,50.55500000,clear sky,33.77,33.77,696614.0,0.0,1536.0,0.0,454276.25,1001.657
Bahrain,Asia,Dār Kulayb,Southern,26.06861000,50.50389000,few clouds,33.97,33.97,696614.0,0.0,1536.0,0.0,454276.25,1001.657
Bahrain,Asia,Madīnat ‘Īsá,Southern,26.17361000,50.54778000,clear sky,33.97,33.97,696614.0,0.0,1536.0,0.0,454276.25,1001.657
Bangladesh,Asia,Barisal ,Barisal ,22.42035790,89.78250340,few clouds,31.64,31.64,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Bangladesh,Asia,Bhola ,Barisal ,22.32452480,90.10568470,clear sky,28.92,28.92,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Bangladesh,Asia,Pirojpur ,Barisal ,22.50937910,89.36434220,few clouds,30.75,30.75,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Bangladesh,Asia,Bandarban,Chittagong ,22.00000000,92.33333000,clear sky,28.14,28.14,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Bangladesh,Asia,Brahmanbaria,Chittagong ,23.98333000,91.16667000,haze,31.04,31.04,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Bangladesh,Asia,Chandpur,Chittagong ,23.25000000,90.83333000,clear sky,35.94,35.94,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Bangladesh,Asia,Chittagong,Chittagong ,22.48750000,91.96333000,few clouds,27.63,27.63,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Bangladesh,Asia,Barguna ,Barisal ,22.17167870,89.79740240,scattered clouds,28.95,28.95,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Bangladesh,Asia,Jhalokati ,Barisal ,22.56303520,89.87191590,few clouds,31.0,31.0,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Bangladesh,Asia,Patuakhali ,Barisal ,22.18709170,89.71647060,few clouds,29.21,29.21,2051348.0,40.0,29499.0,0.0,12110.572,174.154
Barbados,North America,Oistins,Christ Church,13.07067000,-59.54637000,few clouds,27.05,27.05,108582.0,57.0,593.0,0.0,384600.7,2100.424
Barbados,North America,Greenland,Saint Andrew,13.25808000,-59.57763000,overcast clouds,-1.7,0.06,108582.0,57.0,593.0,0.0,384600.7,2100.424
Barbados,North America,Holetown,Saint James,13.18672000,-59.63808000,overcast clouds,27.31,27.31,108582.0,57.0,593.0,0.0,384600.7,2100.424
Barbados,North America,Bathsheba,Saint Joseph,13.21133000,-59.52596000,few clouds,27.34,27.34,108582.0,57.0,593.0,0.0,384600.7,2100.424
Barbados,North America,Bridgetown,Saint Michael,13.10732000,-59.62021000,few clouds,27.27,27.27,108582.0,57.0,593.0,0.0,384600.7,2100.424
Barbados,North America,Speightstown,Saint Peter,13.25072000,-59.64396000,overcast clouds,27.34,27.34,108582.0,57.0,593.0,0.0,384600.7,2100.424
Barbados,North America,Crane,Saint Philip,13.10487000,-59.44861000,overcast clouds,16.21,16.21,108582.0,57.0,593.0,0.0,384600.7,2100.424
Belarus,Europe,Antopal’,Brest,52.20380000,24.78630000,few clouds,15.25,15.25,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belarus,Europe,Baranovichi,Brest,53.13270000,26.01390000,clear sky,14.7,14.7,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belarus,Europe,Brest,Brest,52.09755000,23.68775000,clear sky,15.98,15.98,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belarus,Europe,Byaroza,Brest,52.53140000,24.97860000,clear sky,15.44,15.44,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belarus,Europe,Byelaazyorsk,Brest,52.47310000,25.17840000,clear sky,15.46,15.46,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belarus,Europe,Charnawchytsy,Brest,52.21948000,23.74043000,clear sky,16.03,16.03,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belarus,Europe,Asnyezhytsy,Brest,52.18910000,26.12990000,few clouds,14.64,14.64,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belarus,Europe,Baranovichskiy Rayon,Brest,53.16667000,25.83333000,clear sky,14.95,14.95,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belarus,Europe,Brestski Rayon,Brest,52.00000000,23.75000000,clear sky,15.97,15.97,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belarus,Europe,Byarozawski Rayon,Brest,52.50000000,25.00000000,clear sky,15.52,15.52,994037.0,0.0,7118.0,0.0,108362.68,775.953
Belgium,Europe,Brussels,Brussels-Capital ,50.85045000,4.34878000,clear sky,15.08,17.1,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belgium,Europe,Aalst,Flanders,50.93604000,4.03550000,scattered clouds,15.17,16.44,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belgium,Europe,Aalter,Flanders,51.09017000,3.44693000,broken clouds,15.28,16.7,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belgium,Europe,Aarschot,Flanders,50.98715000,4.83695000,broken clouds,15.17,17.76,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belgium,Europe,Aartselaar,Flanders,51.13412000,4.38678000,clear sky,15.54,17.77,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belgium,Europe,Alken,Flanders,50.87553000,5.30558000,overcast clouds,15.9,16.92,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belgium,Europe,Alveringem,Flanders,51.01238000,2.71117000,few clouds,14.96,16.14,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belgium,Europe,Antwerpen,Flanders,51.21989000,4.40346000,clear sky,15.97,17.72,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belgium,Europe,Anzegem,Flanders,50.83700000,3.47786000,scattered clouds,15.17,16.62,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belgium,Europe,Ardooie,Flanders,50.97570000,3.19736000,broken clouds,15.25,16.71,4872829.0,1277.0,34339.0,0.0,418562.72,2949.626
Belize,North America,Belize City,Belize,17.49952000,-88.19756000,few clouds,27.01,27.79,71414.0,0.0,688.0,0.0,177319.92,1708.294
Belize,North America,San Pedro,Belize,17.91598000,-87.96590000,few clouds,27.92,29.57,71414.0,0.0,688.0,0.0,177319.92,1708.294
Belize,North America,Belmopan,Cayo,17.25000000,-88.76667000,overcast clouds,24.99,24.99,71414.0,0.0,688.0,0.0,177319.92,1708.294
Belize,North America,Benque Viejo el Carmen,Cayo,17.07500000,-89.13917000,clear sky,23.01,23.01,71414.0,0.0,688.0,0.0,177319.92,1708.294
Belize,North America,San Ignacio,Cayo,17.15880000,-89.06960000,clear sky,23.08,23.08,71414.0,0.0,688.0,0.0,177319.92,1708.294
Belize,North America,Valley of Peace,Cayo,17.33472000,-88.83472000,overcast clouds,24.89,24.89,71414.0,0.0,688.0,0.0,177319.92,1708.294
Belize,North America,Corozal,Corozal,18.39375000,-88.38849000,light rain,24.89,24.89,71414.0,0.0,688.0,0.0,177319.92,1708.294
Belize,North America,Hopelchén,Orange Walk,17.80000000,-89.10000000,broken clouds,25.73,25.73,71414.0,0.0,688.0,0.0,177319.92,1708.294
Belize,North America,Orange Walk,Orange Walk,18.08124000,-88.56328000,broken clouds,25.7,25.7,71414.0,0.0,688.0,0.0,177319.92,1708.294
Belize,North America,Shipyard,Orange Walk,17.89382000,-88.65452000,broken clouds,26.36,26.36,71414.0,0.0,688.0,0.0,177319.92,1708.294
Benin,Africa,Banikoara,Alibori,11.29845000,2.43856000,overcast clouds,40.5,40.5,28036.0,0.0,163.0,0.0,2037.573,11.846
Benin,Africa,Kandi,Alibori,11.13417000,2.93861000,overcast clouds,40.63,40.63,28036.0,0.0,163.0,0.0,2037.573,11.846
Benin,Africa,Malanville,Alibori,11.86819000,3.38327000,overcast clouds,39.77,39.77,28036.0,0.0,163.0,0.0,2037.573,11.846
Benin,Africa,Natitingou,Atakora,10.30416000,1.37962000,overcast clouds,36.48,36.48,28036.0,0.0,163.0,0.0,2037.573,11.846
Benin,Africa,Tanguieta,Atakora,11.03621000,1.41757000,overcast clouds,38.37,38.37,28036.0,0.0,163.0,0.0,2037.573,11.846
